IDLoja,Morada,CodigoPostal,Localidade
1,Rua Central,4000-123,Porto
2,Praça da Liberdade,4710-001,Braga
3,Avenida Central,3000-020,Coimbra
4,Avenida Infante Dom Henrique,1000-165,Lisboa
5,Avenida Marginal,2750-427,Cascais
6,Praia da Rocha,8500-801,Portimão
7,Avenida dos Descobrimentos,8600-315,Lagos
8,Largo 5 de Outubro,8000-340,Faro
9,Rua Vasco da Gama,8800-360,Tavira
10,Rua José Pires Padinha,7000-756,Évora
11,Rua Serpa Pinto,7800-457,Beja
12,Largo da Conceição,7300-088,Portalegre
13,Praça da República,2000-123,Santarém
14,Largo do Seminário,2400-123,Leiria
15,Avenida Nossa Senhora de Fátima,2410-143,Leiria
16,Rua Capitão Mouzinho de Albuquerque,2500-123,Caldas da Rainha
17,Avenida D. Manuel I,3080-323,Figueira da Foz
18,Avenida José Estevão,3800-124,Aveiro
19,Praça Marquês de Pombal,4430-999,Coimbra
20,Avenida da Boavista,4100-121,Matosinhos
21,Largo do Toural,4810-427,Guimarães
22,Rua 31 de Janeiro,5000-123,Vila Real
23,Praça da República,5300-123,Bragança
24,Rua da Amizade,2650-001,Amadora
25,Avenida dos Plátanos,2710-001,Sintra
26,Rua da Liberdade,2845-001,Seixal
27,Avenida Luísa Todi,2900-001,Setúbal
28,Rua Vasco da Gama,7520-001,Sines
29,Avenida Norton de Matos,2300-001,Tomar
30,Praça da República,6200-001,Covilhã
31,Rua Dr. Francisco Sá Carneiro,800-001,Faro
32,Largo da Misericórdia,7800-001,Beja
33,Largo da Sé,7370-001,Ponte de Sor
34,Rua Serpa Pinto,7540-001,Santiago do Cacém
35,Rua do Castelo,6000-001,Castelo Branco
36,Avenida da Liberdade,2400-001,Leiria
37,Largo da Graça,7000-001,Évora
38,Praça do Município,5400-001,Chaves
39,Rua Direita,2500-001,Caldas da Rainha
40,Avenida da República,8000-001,Faro
41,Avenida 25 de Abril,8135-001,Lagoa
42,Largo da Sé,1100-001,Lisboa
43,Avenida do Mar,9125-001,Funchal
44,Largo da Oliveira,4800-001,Guimarães
45,Praça da República,5000-001,Vila Real
46,Avenida Marginal,9500-001,Ponta Delgada
47,Rua 5 de Outubro,9700-001,Angra do Heroísmo
48,Largo do Giraldo,7000-001,Évora
49,Rua Garrett,1200-001,Lisboa
50,Largo do Carmo,4050-001,Porto
51,Rua Santa Catarina,4000-001,Porto
52,Avenida dos Aliados,4000-001,Porto
53,Praça Dom Pedro IV,1100-001,Lisboa
54,Avenida da Liberdade,1250-001,Lisboa
55,Praça do Comércio,1100-001,Lisboa
56,Praia da Vitória,9760-001,Praia da Vitória
57,Largo da Sé,4900-001,Viana do Castelo
58,Avenida Fernão de Magalhães,4710-001,Braga
59,Avenida Central,3000-001,Coimbra
60,Rua da Misericórdia,8000-001,Faro
61,Avenida 24 de Julho,1200-001,Lisboa
62,Avenida da Boavista,4100-001,Porto
63,Rua João de Deus,8150-001,São Brás de Alportel
64,Avenida 5 de Outubro,2560-001,Torres Vedras
65,Largo Dr. Couto,4930-001,Valença
66,Avenida da Liberdade,4760-001,Vila Nova de Famalicão
67,Praça da República,4490-001,Póvoa de Varzim
68,Largo do Pelourinho,2600-001,Vila Franca de Xira
69,Praça da República,4830-001,Póvoa de Lanhoso
70,Rua Serpa Pinto,4620-001,Lousada
71,Rua 1º de Dezembro,2500-001,Caldas da Rainha
72,Rua Serpa Pinto,4860-001,Cabeceiras de Basto
73,Avenida da Igreja,4520-001,Santa Maria da Feira
74,Largo do Bom Sucesso,7580-001,Alcácer do Sal
75,Avenida Vasco da Gama,2565-001,Torres Vedras
76,Largo do Rossio,4960-001,Melgaço
77,Rua das Amoreiras,3105-001,Pombal
78,Praça do Giraldo,7000-001,Évora
79,Avenida da Boavista,4100-001,Porto
80,Largo da Sé,4900-001,Viana do Castelo